======================================================================
  DAFTAR DRAMA - ARABIC
  Total: 58 drama
======================================================================

No.    ID       Judul                                               Episode
---------------------------------------------------------------------------
1      3896     لست إله صيد الأسماك                                   76 eps
2      3897     قصة انتصار موظف التوصيل                               91 eps
3      3898     عندما يصل الحب                                        78 eps
4      3899     زوجي الجديد من الأثرياء                               69 eps
5      3900     هل تستحق بك قول يا سيف تعال؟                          61 eps
6      3901     الشيخ الصغير المقدر                                   61 eps
7      3902      ترتقي في العصر الحديث بسر الأساطير                   89 eps
8      3903     العودة إلى العصور القديمة للحصول على زوجة             71 eps
9      3924     ثأر الأختين                                           80 eps
10     3925     مطلّقة هزّت العالم                                    95 eps
11     3926     تسعة وتسعون يومًا من الحب                             81 eps
12     3927     زوجتي زعيمة                                           80 eps
13     3928     ابنتي سمكة الحظ السعيد                                79 eps
14     3929     قبل الفجر                                             52 eps
15     3930     القبض على القاتل: أمي أنقذيني                         35 eps
16     3931     في عام الكارثة ،  نعمة  تجلب الرخاء للعائلة           70 eps
17     3932     من سرق خطابي القبول                                   58 eps
18     3933     نجمة حظّي                                             64 eps
19     3934     سرّ قاعة الأجداد                                      40 eps
20     3935     امتحان القبول الجامعي: النمو نحو الشمس                43 eps
21     3936     الوزير الأعظم ذو الوجهين يحبّني في الخفاء             91 eps
22     3937     ما زلت أذكرك                                          73 eps
23     4667     أبي ينقصني في قدره                                    60 eps
24     4719      بعد عدة مغفرة،وداعا لحبيبي                           80 eps
25     4755     عشيقي هو جلالة الملك                                  80 eps
26     4778     زوجي الماكر                                           76 eps
27     4779     بعد خيانة يفقد حبه إلى الأبد                          60 eps
28     4791     لن يعود الحب أبدا                                     60 eps
29     4819     حقيقة الاختفاء                                        51 eps
30     4865     إنقاذ النساء في الخطر                                 80 eps
31     4867     جمال لا مثيل له                                       73 eps
32     4870     أحبّ بلا قيود                                         79 eps
33     4891     إغواء خاطئ                                            74 eps
34     4923     عمري أربعةن سنة هة مجرد رقم                           52 eps
35     4948     هي ليست مجرد عاملة نظافة                              59 eps
36     4970     هروب من الزواج لالعمل                                 65 eps
37     4994     حب و حقد                                              59 eps
38     4996     القدر بين يديك                                        60 eps
39     5038     يا أخي لا تعبث، دعني أحضنك                            69 eps
40     5070     الخطة المسبقة                                         60 eps
41     5080     يا إلهي! حظرت زوجي المدير التنفيذي                    90 eps
42     5081     قبليني يا أختي                                        77 eps
43     5082     تخليه كالعاصفة                                        53 eps
44     5129     آه، راهبة صغيرة تأتي للعمل                            80 eps
45     5168     الطبيبة الماهرة زوجة ابن الأمير المدلَّلة من الع      80 eps
46     5186     أمي هي الملكة                                         78 eps
47     5213     حسناء                                                 80 eps
48     5214     الخادمة البديلة للحاكم العسكري                        80 eps
49     5241     من سيشفق على الضعفاء                                  68 eps
50     5279     زوجة ماجد المدللة                                     79 eps
51     5289     مشررع الصغير المسؤول                                 101 eps
52     5300     زواج واحد إلى الأبد                                   87 eps
53     5329     فرصة ثانية في الحياة                                  71 eps
54     5346     انطلاقة القيامة الحمراء                               77 eps
55     5393     المقامر الماهر                                        36 eps
56     5413     لا بأس، نحن العائلة                                  105 eps
57     5414     قبر القلب                                             30 eps
58     5436     سيدى، خطبتك تزوجت بآخر                                51 eps

---------------------------------------------------------------------------
Total: 58 drama
