======================================================================
  DAFTAR DRAMA - CHINESE
  Total: 457 drama
======================================================================

No.    ID       Judul                                               Episode
---------------------------------------------------------------------------
1      1        医手遮天太子妃她有点拽                                           13 eps
2      2        离婚后总裁老婆跪求复合                                           13 eps
3      3        狂龙战神                                                  17 eps
4      4        回村野丫头竟是女总裁                                             8 eps
5      5        绝代                                                    15 eps
6      6        大庆五皇子                                                 10 eps
7      7        弃女的反击                                                 12 eps
8      8        首富从倒退时间开始                                             11 eps
9      9        全球污染我靠矿泉水成为首富                                         11 eps
10     10       燃烧吧姐姐                                                 11 eps
11     11       北玄王刀                                                  18 eps
12     12       时岁知味                                                  11 eps
13     44       前夫！我有200斤仇恨想跟你算算                                      80 eps
14     45       引她入室                                                  58 eps
15     113      宫女扶摇录                                                 52 eps
16     114      闪婚老伴是豪门                                               69 eps
17     115      总裁夫人来自农村                                              68 eps
18     116      孕期被霸总宠上天                                             100 eps
19     117      五十岁保姆嫁豪门                                              74 eps
20     118      前夫！我有200斤仇恨想跟你算算                                      80 eps
21     119      厉总，你找错夫人了                                            103 eps
22     120      去有你的地方                                                74 eps
23     121      亲爱的宋小姐                                                69 eps
24     122      当替身我月薪百万                                              92 eps
25     123      乌龙孕事                                                  76 eps
26     124      凤凰于飞                                                  79 eps
27     125      我在八零年代当后妈                                             82 eps
28     126      腹黑女佣                                                  80 eps
29     127      美人在八零                                                 99 eps
30     128      裴总每天都想父凭子贵                                            99 eps
31     313      女帝逆襲                                                  46 eps
32     416      偽装花嫁                                                  50 eps
33     462      ys Forbidden Desire：My Mated Stripper 英语成片            70 eps
34     463      ys 陆先生，我们结婚吧 英文成片                                     82 eps
35     521      愛娘奪還                                                  69 eps
36     748      双花                                                    66 eps
37     840      請君入我懷                                                 62 eps
38     912      真珠王女                                                  56 eps
39     1148     告白遅延                                                 100 eps
40     1150     電撃婚夫婦、熱愛中                                             89 eps
41     1277     测试                                                     2 eps
42     1371     技术测试勿动                                                 4 eps
43     1480     母憑子貴後被老板全家寵上天                                         74 eps
44     1510     技术测试勿动0109: Married the Mafia Boss by Contract        19 eps
45     1584     閃婚老伴是豪門                                               69 eps
46     1586     總裁夫人來自農村                                              68 eps
47     1587     宮女扶搖錄                                                 52 eps
48     1593     孕期被霸總寵上天                                             100 eps
49     1600     前夫！我有200斤仇恨想跟你算算                                      80 eps
50     1601     五十歲保姆嫁豪門                                              74 eps
51     1610     厲總，你找錯夫人了                                            103 eps
52     1611     去有你的地方                                                74 eps
53     1612     親愛的宋小姐                                                69 eps
54     1613     當替身我月薪百萬                                              53 eps
55     1617     當替身我月薪百萬                                              92 eps
56     1618     烏龍孕事                                                  76 eps
57     1619     鳳凰於飛                                                  79 eps
58     1620     腹黑女傭                                                  80 eps
59     1621     裴總每天都想父憑子貴                                            99 eps
60     1622     正義之刃                                                  54 eps
61     1627     美人在八零                                                 99 eps
62     1628     我在八零年代當後媽                                             82 eps
63     1651     十八歲太奶奶駕到，重整家族榮耀                                       90 eps
64     1657     甜妻似火，霍爺他超愛                                            80 eps
65     1709     我的幸運兒                                                 64 eps
66     1710     祠堂祕辛                                                  40 eps
67     1736     沐熙 2：公海風雲                                             45 eps
68     1770     放棄保送，我成了全民救世主                                         40 eps
69     1771     家裡家外                                                  79 eps
70     1782     幸運玫瑰，週先生超寵我                                           74 eps
71     1790     離婚後她捅破天                                               95 eps
72     1791     别有用心的妻子                                               52 eps
73     1792     一夜幸孕，閃婚老伴寵上天                                          79 eps
74     1800     哈囉，季先生請您跟我結婚吧                                         76 eps
75     1803     侯門婢女升職記                                               67 eps
76     1816     南音再許                                                  63 eps
77     1826     破曉                                                    75 eps
78     1834     女保姆你別逃                                                53 eps
79     1865     我不是釣神                                                 76 eps
80     1866     朝朝來池                                                  55 eps
81     1867     念念有詞                                                  92 eps
82     1877     我的姐妹三千歲                                               89 eps
83     1885     肥妻皇后不好惹                                               62 eps
84     1892     風風火火的她                                                57 eps
85     1901     高考之向陽而生                                               43 eps
86     1913     夢想成真後，他主動自首                                           40 eps
87     1918     爹地他命裡缺我                                               60 eps
88     1942     拍賣會後，嫁給老公死對頭                                          60 eps
89     1972     高考之向陽而生                                               43 eps
90     1973     他從廢墟中走來                                               82 eps
91     1974     雙面權臣暗戀我                                               91 eps
92     1977     此生更如意                                                148 eps
93     1989     暮雪傾城                                                  85 eps
94     1990     念念不忘                                                  73 eps
95     2004     放肆野                                                   79 eps
96     2005     四十而已                                                  52 eps
97     2012     錯愛經年人已遠                                               50 eps
98     2014     蟄伏十年婆婆亮劍                                              45 eps
99     2029     我保送，你隨意                                               31 eps
100    2030     心墳                                                    30 eps
101    2048     賣菜大媽竟是皇嫂                                              69 eps
102    2050     大災之年，天降福寶旺全家                                          70 eps
103    2053     妖妃在上                                                  83 eps
104    2054     開局反派只想苟，女主不按套路走                                       60 eps
105    2071     涅槃                                                    82 eps
106    2075     偽妹                                                    58 eps
107    2085     請旨嫁人後，太子又爭又搶                                          65 eps
108    2087     黑蓮花上位手冊                                              120 eps
109    2101     老手                                                    36 eps
110    2102     讓你送外賣，你摘下高嶺之花                                         91 eps
111    2121     黎明破曉前                                                 52 eps
112    2123     當愛抵達時                                                 79 eps
113    2129     誰偷了我的錄取通知書                                            58 eps
114    2138     老太太重生七零，幸福全家                                          64 eps
115    2155     火線追凶：媽媽救我                                             35 eps
116    2156     離婚後她帶崽嫁入豪門                                            80 eps
117    2157     姐姐吻我                                                  77 eps
118    2159     神醫世子妃被全家寵上天                                           80 eps
119    2168     天降萌寶老祖 孝子賢孫都跪下                                        61 eps
120    2188     十八歲太奶奶駕到，重整家族榮耀 2                                    100 eps
121    2208     春風不度舊時恩                                               60 eps
122    2215     反千                                                    94 eps
123    2218     怦然心動五十歲                                               62 eps
124    2225     哦莫！我把總裁老公拉黑了                                          90 eps
125    2252     漫長的婚約                                                 61 eps
126    2253     哎呀！小小道士來打工                                            80 eps
127    2254     親愛的家人                                                 67 eps
128    2255     督軍的替身丫鬟                                               80 eps
129    2256     死後才知，我竟是京圈太子的白月光                                      88 eps
130    2293     沒關係是家人啊                                              105 eps
131    2295     一品布衣                                                 105 eps
132    2313     你也配劍來                                                 61 eps
133    2315     90年代重生改嫁走花路                                           62 eps
134    2318     靜待驚鴻入翁慌                                               40 eps
135    2327     天才醫生歸來                                                61 eps
136    2328     風起燼鈴                                                  75 eps
137    2329     愛意不歸，山水不逢                                             72 eps
138    2356     遇見愛，遇見幸福                                              40 eps
139    2396     婚姻正義聯盟                                                42 eps
140    2397     月染愛人                                                  84 eps
141    2398     香雪映宮闕                                                 61 eps
142    2417     婚姻正義同盟                                                42 eps
143    2420     只為占有你                                                100 eps
144    2445     登鳳臺                                                  155 eps
145    2448     心死後，我成了女兒靠山                                           64 eps
146    2456     隔輩親之千億萌孫來報恩                                           59 eps
147    2458     嬌嬌竊君心                                                 84 eps
148    2483     預謀                                                    60 eps
149    2484     珣爺家的小祖宗又野又颯                                           66 eps
150    2494     桃花映江山                                                 60 eps
151    2495     夫人她專治不服                                               69 eps
152    2501     何處惹塵埃                                                 69 eps
153    2535     一婚到底                                                  87 eps
154    2536      他犯規心動                                                71 eps
155    2539     他過分野                                                  73 eps
156    2540     茉莉如此多嬌                                                64 eps
157    2548     寶貝當家計畫                                               101 eps
158    2566     救風塵                                                   80 eps
159    2567     貶妻為妾，醫女竟是長公主                                          80 eps
160    2574     師匠戦記                                                  76 eps
161    2582     完蛋我包養的小白臉是大佬                                          75 eps
162    2583     一日為師                                                  76 eps
163    2597     夫人她套路太深                                               81 eps
164    2609     饑荒年，我撿垃圾帶全家吃肉                                         72 eps
165    2610     我的蛇君軟又妖                                               80 eps
166    2628     退休返聘之妙手回春                                             60 eps
167    2629     閃婚後我成了大佬的掌中之物                                         65 eps
168    2632     南風過境，你我皆客                                             80 eps
169    2658     寄生                                                    41 eps
170    2661     公司清潔竟是董事長母親                                           59 eps
171    2662     我的人魚夫君                                                90 eps
172    2663     夜色將明                                                  83 eps
173    2664     聲聲相許                                                 109 eps
174    2689     逃婚去打工                                                 65 eps
175    2690     重生後夫人她發瘋虐全家                                           80 eps
176    2711     我直播砸車，男友和閨蜜慌了                                         43 eps
177    2712     顧总的二婚嬌妻                                               79 eps
178    2719     完美的不在場證明                                              51 eps
179    2740     芳華                                                    80 eps
180    2741     我本女王                                                  95 eps
181    2748     錯局餘生                                                  68 eps
182    2754     誰憐寸草心                                                 68 eps
183    2780     何意人别似花離                                               61 eps
184    2781     七夕甜蜜蜜                                                 89 eps
185    2782     保姆風波                                                  40 eps
186    2783     緋色浸染                                                  60 eps
187    2791     入夜對她上癮                                                62 eps
188    2792     她靠修仙在現代風生水起                                           89 eps
189    2815     春日攀京枝                                                 85 eps
190    2824     我保送，你隨意                                               31 eps
191    2833     鳳凰帰巣                                                  78 eps
192    2836     絕世芳華                                                  73 eps
193    2837     情深不抵茉莉香                                               43 eps
194    2839     妄想她                                                   75 eps
195    2861     都換親了，好命夫人還是我                                          60 eps
196    2862     偏偏偏愛你                                                 80 eps
197    2884     總裁夫人來自農村 2                                            77 eps
198    2885     他野                                                    71 eps
199    2907     臣服她                                                   73 eps
200    2910     白首流年空餘恨                                               90 eps
201    2922     玫瑰再開時                                                 59 eps
202    2923     夜色溫柔                                                  98 eps
203    2924     掌心難逃                                                  63 eps
204    2954     誤撩                                                    74 eps
205    2955     春深鎖玉郎                                                 89 eps
206    2960     棄他如風                                                  53 eps
207    2961     萌寶來襲：女兒助我走向人生巔峰                                       86 eps
208    2986     昭昭引蠱                                                  42 eps
209    2987     弟弟別鬧，姐姐抱抱                                             69 eps
210    2995     離婚後我攀高枝                                               65 eps
211    2997     80姐妹的交換人生                                             64 eps
212    3025     閃婚後，億萬總裁把我寵上天                                        103 eps
213    3026     恩愛兩不疑                                                 40 eps
214    3038     情迷上海灘                                                 94 eps
215    3039     末日之热浪來襲                                               77 eps
216    3047     春天花會開                                                 82 eps
217    3066     後來的我們，再無後來                                            76 eps
218    3067     福星王妃在線打臉                                              87 eps
219    3075     酒神                                                    64 eps
220    3079     這個保鏢太無敵了                                              77 eps
221    3111     機長先生，你的未婚妻嫁人了                                         51 eps
222    3112     愛到病除                                                  60 eps
223    3113     非她不可                                                  88 eps
224    3124     傅少，您夫人馬甲又掉了                                           79 eps
225    3125     冷麵小叔寵嫂無度                                              52 eps
226    3126     老公請和我戀愛吧                                              86 eps
227    3127     引她入室                                                  58 eps
228    3128     风月有意，相思未绝                                             43 eps
229    3135     記憶復甦，他追悔莫及                                            52 eps
230    3174     失約的月光                                                 65 eps
231    3193     當山河四省高三生成為京市真千金                                       66 eps
232    3194     五十歲重啟人生                                               42 eps
233    3210     救命！我老公茶香四溢                                            76 eps
234    3214     回村！讓我媽母憑女貴                                            68 eps
235    3224     相亲當天我成了豪門                                             86 eps
236    3231     讀心老公有點甜                                               98 eps
237    3242     大叔的四個女房客                                              91 eps
238    3255     姐姐結婚，我也結                                              60 eps
239    3257     天降小饕餮，我收你們來啦                                          75 eps
240    3274     他與舊約，風月難追                                             60 eps
241    3275     失蹤的真相                                                 51 eps
242    3276     去有你的地方2                                               73 eps
243    3277     福娃駕到                                                  93 eps
244    3278     重生後為兒媳撐腰                                              66 eps
245    3279     嬌藏玫瑰                                                  72 eps
246    3351     弒神                                                    50 eps
247    3354     君臨城下                                                  45 eps
248    3355     福星駕到：督軍爹爹請認領                                          73 eps
249    3362     南下物語                                                  45 eps
250    3376     裝窮父母我不要了                                              72 eps
251    3377     我有九千万億舔狗金                                             67 eps
252    3401     唯她是圖                                                  63 eps
253    3408     不原諒不復合蘇小姐獨美                                           65 eps
254    3409     以家人之名                                                 60 eps
