======================================================================
  DAFTAR DRAMA - ENGLISH
  Total: 1630 drama
======================================================================

No.    ID       Judul                                               Episode
---------------------------------------------------------------------------
1      14       My Powerful Queen                                    100 eps
2      15       Strives in Underground                               103 eps
3      17       Body Swap: CEO And the Princess                       86 eps
4      18       Rising Beyond the Tempest                             83 eps
5      19       The Midnight Tryst: Their Fateful Encounter           76 eps
6      21       The Million-Dollar Replacement                        92 eps
7      22       Jilted to Jewel: The Rejected Bride's Rise            69 eps
8      23       Oops! Mr. Lawson Got the Wrong Girl                  103 eps
9      24       Silken Intrigues: Lust, Power and Betrayal            79 eps
10     25       Adorable Quinn                                        89 eps
11     26       Back to the 80s                                       82 eps
12     27       The Scheming Maid                                     80 eps
13     28       From Red Carpet to Dirt Road                          99 eps
14     29       Unexpected Knot: My Husband is a Tycoon               99 eps
15     30       In Love with Mr. Mysterious                           98 eps
16     31       No Evil                                               71 eps
17     32       Princess Is A Medical Sage                            83 eps
18     33       Face/off                                              90 eps
19     34       Life Broker                                           77 eps
20     35       Intern is CEO's Wife                                  80 eps
21     36       Online Boyfriend is My Boss                           85 eps
22     37       Lethal Gentleness                                     80 eps
23     38       Back to 1990:Smartphone Run the World                 73 eps
24     39       Cancer Makes Me Stronger                              83 eps
25     40       Burning Sister                                       100 eps
26     41       The Heiresses                                         93 eps
27     42       Storm Breaker                                         76 eps
28     43       Girls’ Love                                           82 eps
29     46       Dragon Warlord                                       100 eps
30     47       Deserted Island                                       84 eps
31     48       Back to Ancient Times as a Duke                      100 eps
32     49       Restart My Brilliant Life                             70 eps
33     50       Scramble for Royalty as Prince Shawn                  94 eps
34     51       Time Travel:Become a Mind Reading Servant            100 eps
35     52       Infinite Power:Master of the Martial Hall             94 eps
36     53       Time Travel:Make My Dad Billionaire                   82 eps
37     54       Oh No！ My Boss Is My Secret Lover!                    55 eps
38     55       Country Girl，CEO’s Wife.                              68 eps
39     56       Apocalypse Reborn: The World’s Savior                 77 eps
40     57       From Housewife to Heiress: My Revenge Story           80 eps
41     58       Loving You Makes Me Addicted and Guilty              111 eps
42     59       My Deceptive Marriage                                 80 eps
43     60       Regain Power:Rising from the Ashes                    78 eps
44     61       The Passionate Love of My Fiance’s Uncle              69 eps
45     62       The Powerful Dragon Gate Master                       82 eps
46     63       Return of The Supreme Lord                            94 eps
47     64       The Divine Lord of Heavenly Hammer                    84 eps
48     65       The Powerful King Alexander                           80 eps
49     66       Failure Awakens His Superpowers                       95 eps
50     67       Escape From the Lethal Starver Game                   85 eps
51     68       Glorious Homecoming of the Chairwoman                 68 eps
52     69       Please Seduce my Husband                              58 eps
53     70       My Heartless Ex is Loving Me Again and Again          91 eps
54     71       My Long-Lost Brother Is A Tycoon                      79 eps
55     72       Reborn to be My Foe’s Family                          78 eps
56     73       My Future Granddaughter Comes to Change My Life       85 eps
57     74       The Conflicting Lovers                                79 eps
58     75       My Fiancee’s Brother Is Falling for Me                92 eps
59     76       The Omnipotent Servant                                90 eps
60     77       The Messages from My Future Self                      90 eps
61     78       Global Water-pollution:Mineral Water Makes Me Bi     100 eps
62     79       The Secretive Mogul                                   92 eps
63     80       The Master of Martial God Temple                     101 eps
64     81       Don’t Tell My Boss I’m a Girl                         55 eps
65     82       Rise of the Palace Maid                               52 eps
66     83       The CEO's Loving Obsession                           100 eps
67     84       From Peasant Lady to Royalty                          69 eps
68     85       The Billionaire’s Secret Family                       70 eps
69     86       Silver Vows：Suddenly Married to a Billionaire         69 eps
70     87       Nanny and Magnate's Second Chance at Love             74 eps
71     88       Pregnant after ONS,I’m Spoiled by CEO                 79 eps
72     89       Know Heir’s Love for Me until Dying                   88 eps
73     90       The Aristocratic Heiress from the Countryside         77 eps
74     91       Go Where You are                                      73 eps
75     92       Addicted to Her as Night Falls                        62 eps
76     93       I Peaked After the Breakup                            65 eps
77     94       Released from Prison,My Supermom Slays                77 eps
78     95       Universal Heartthrob：I Have 9 Quadrillion             67 eps
79     96       Married to a superstar as the housewife               45 eps
80     97       Country Girl，CEO’s Wife.（Dubbed）                      68 eps
81     98       Married The Richest Man After Being Dumped            51 eps
82     99       I Don't Know My Husband is a Billionaire              50 eps
83     100      The Lost Heiress of a Billionaire Family              49 eps
84     101      My Kids' Daddy is a Secret Billionaire                49 eps
85     102      The Mafia Boss Has a Gun, Darling Don't Run           55 eps
86     103      Modern Journey of an Ancient Queen                    75 eps
87     104       Ascension of the Rebellious Consort                  83 eps
88     105      Mansion Secrets：My Second Husband is a Billionai      80 eps
89     106      My Grandson is the Heir to a Billionaire              59 eps
90     107      I Kept an Alpha                                       75 eps
91     108      Captive Love from the Mob Boss                        65 eps
92     109      Silver Vows：Suddenly Married to a Billionaire（Du      69 eps
93     110      Shadows of Betrayal                                   46 eps
94     111      A Wedding and Mistakes                                50 eps
95     112      Crown of Shadows：The Empress’s Revenge               120 eps
96     129      Google Payment Fixed                                   1 eps
97     130      Spoiled By The Billionaire                            73 eps
98     131      Love Born From A Contract                             71 eps
99     132      My Boss Mom                                           80 eps
100    133      The Little Avengers                                   80 eps
101    134      Freeze！my wanted lover                                60 eps
102    135      After Divorce: I Become Hybrid Alpha's Luna           60 eps
103    136      Cinderella's Revenge                                  80 eps
104    137      Lucky Mom Marries the Richest Man                     80 eps
105    139      My Five Bossy Brothers                                80 eps
106    140      Unveiling the Hidden Immortal                         80 eps
107    159      Boss, You've Got The Wrong Wife                       82 eps
108    160      Lightening Marriage with a Tycoon Husband             96 eps
109    161      The Mafia Boss Has a Gun, Darling Don't Run           55 eps
110    162      Married The Richest Man After Being Dumped            51 eps
111    163      My Richest Dad                                        80 eps
112    164      Rebirth: My Triumphant Revenge                        80 eps
113    165      I Don't Know My Husband is a Billionaire              50 eps
114    166      Shattered Vows: Love in Ashes                         30 eps
115    167      The Secretary Who Obsessed the CEO                    70 eps
116    169      The Love Cage of My Billionaire Dad                   87 eps
117    172      You Are My Destiny                                    98 eps
118    173      Twins' Love Trap for Billionaire Dad                  64 eps
119    176      Say Yes, Mr. Johnson                                  76 eps
120    177      Second Chances at Love                                43 eps
121    181      Derailed                                              80 eps
122    182      Mr. Vampire Wants Me EveryDay                         60 eps
123    192      But Daddy I Love Him                                  60 eps
124    195      Unspoken Love                                         82 eps
125    196      One Landlord, Four Ladies                             91 eps
126    197      Ditch the Mommy Duties After Reborn                   57 eps
127    198      The Billionaire's Spoiled Sister-in-Law               52 eps
128    206      My Hidden Billionaire Husband                         80 eps
129    207      True Love Waits                                       70 eps
130    208      Who Knew My Wife Is a Sage                           100 eps
131    212      My Three Brothers and Me                              90 eps
132    213      The Heiress Unmasked: A Tale of Love and Legacy       91 eps
133    217      I Wish You Knew                                       70 eps
134    224      My Mafia Servant                                      63 eps
135    226      Through the Storm of Lies                             80 eps
136    230      Mighty Mini Miss                                      79 eps
137    231      Strong Comeback of the Desperate Housewife            92 eps
138    233      My Mother, A Tough Heroine                            84 eps
139    236      Counterattack of the Heiress                          80 eps
140    240      Love at Fifty                                         62 eps
141    241      Bonded to Love: My Pretend Boyfriend                  67 eps
142    242      The Heiress’s Revenge                                 80 eps
143    243      Daddy and Mommy’s Little Helper                       82 eps
144    251      Love's Grand Encore                                   36 eps
145    254      A Journey for Revenge                                 30 eps
146    260      Love Outside the Lines                                93 eps
147    275      A Song of Lost Voices                                 81 eps
148    276      Winner Widow                                          75 eps
149    280      A Twist of Fate                                       80 eps
150    281      Lost Love Redeemed                                    30 eps
151    282      Reborn:The Legend Luna Awakening                      70 eps
