======================================================================
  DAFTAR DRAMA - FRENCH
  Total: 119 drama
======================================================================

No.    ID       Judul                                               Episode
---------------------------------------------------------------------------
1      20       Pampered by My Ex-husband's Billionaire Friend        74 eps
2      138      Reborn: Mrs Howard's Revenge                          80 eps
3      381      The General's Return for Revenge                      60 eps
4      559      The General's Mask                                    78 eps
5      592      Mamas Stolz kehrt ins Dorf zurück                     68 eps
6      593      Kinder als Schlüssel                                  70 eps
7      599      Süchtig nach dir                                      62 eps
8      602      Bitte verführe meinen Mann                            58 eps
9      754      Ich, die fünf herausragende ältere Brüder hat         80 eps
10     802      The Maid's Dilemma: Loyalty and Betrayal              50 eps
11     822      Die Mutter ist zurück: Rache und Liebe                77 eps
12     907      The Husband's Secret                                  30 eps
13     1086     Vier Mieterinnen des Mittvierzigers                   91 eps
14     1223     Five Years In, 'Love's Expired'                       50 eps
15     1668     The General's Manor of Hidden Schemes                 62 eps
16     1701     Mini-Cupidos: Papa, hol dir Mama zurück!              80 eps
17     1804     A Maid's Ascent to Duchess                            67 eps
18     1828     Die Hochzeit über die Jahre hinweg                    61 eps
19     2015     Die Passanten des anderen                             80 eps
20     2057     Nach der Scheidung: Ex-Frau überrascht mich!          95 eps
21     2258     Ü50, überglücklich                                    67 eps
22     2368     Reborn: A Maid's Vengeance                            61 eps
23     2380     Bonjour, Mamie arrière !2                            100 eps
24     2382     Le pouvoir à deux visages                             91 eps
25     2386     Mon fils chanceux                                     64 eps
26     2387     Le secret du Temple Ancestral                         40 eps
27     2412     Le Tombeau de l'Amour                                 30 eps
28     2435     The General's Lie                                     80 eps
29     2449     Sofias Weg zum Glück                                  36 eps
30     2547     Mon amie a trois mille ans                            89 eps
31     2623     Mr. Powell's Accidental Bride                         79 eps
32     2660     L'attente trahie                                      60 eps
33     2799     Quarante ans, ça continue                             52 eps
34     2821     Se Remarier pour Venger                               62 eps
35     2822     Schicksalsfünflinge-Papa war überrascht               88 eps
36     2915     Œil pour Œil                                          80 eps
37     2940     À toi ou à personne                                  100 eps
38     3008     L'Usurpatrice                                         82 eps
39     3027     Die Frau des CEO ist eine Mörderin                    91 eps
40     3041     Glücksstern der Familie                              100 eps
41     3044     Le Serpent Roussel                                    64 eps
42     3069     Ich komme zurück,  meine Rache beginnt                62 eps
