======================================================================
  DAFTAR DRAMA - INDONESIAN
  Total: 522 drama
======================================================================

No.    ID       Judul                                               Episode
---------------------------------------------------------------------------
1      355      Kembali ke Desa! Banggakan Ibuku                      68 eps
2      376      Menikah lagi dengan Ketua Direksi                     69 eps
3      380      Sang Pengasuh Kaya                                    74 eps
4      382      Aku Dimanja Saat Hamil                               100 eps
5      384      Hidupku Berubah Setelah Hamil                         79 eps
6      385      Ternyata Kau Idamanku                                 88 eps
7      391      Ketika Ajal Mendekat                                  36 eps
8      393      Dijodohkan Ibu dengan Pria Kaya                       80 eps
9      398      Kelima Abangku Orang Hebat                            80 eps
10     406      Penjual Sayur Ternyata Kakak Kaisar                   69 eps
11     420      Dendam Seberat 200 Kilo                               80 eps
12     421      Pahlawan di Akhir Dunia                               77 eps
13     422      Anak Kembarku Pendukung Cintaku                       70 eps
14     424      Kisah Cinta Bos dan Gadis Desa                        68 eps
15     426      Keluarga yang Berkhianat                              57 eps
16     427      Pacar Online-ku Bosku                                 55 eps
17     428      Pembalasan Dendam Istri CEO yang Lahir Kembali        80 eps
18     429      Terjebak Skenario Istri                               58 eps
19     430      Mencarimu di Ujung Dunia                              73 eps
20     457      Adik lpar Memanjakanku                                52 eps
21     487      Cintaku Hadir Di Kehidupan Selanjutnya                77 eps
22     488      Terpikat Padanya di Keheningan Malam                  62 eps
23     490      Menuju Tempatmu Berada 1                              74 eps
24     491      Tiada Maaf Bagimu                                     65 eps
25     493      Pria Simpananku Orang Hebat                           75 eps
26     495      Istri Kesayangan Mafia                                65 eps
27     496      Balas Dendam Sang Selir                              120 eps
28     499      Empat Cewek Cantik Rebutan Si Bos                     91 eps
29     502      Cinta yang Bersemi Kembali                            43 eps
30     503      Cinta yang Tak Terucapkan                             82 eps
31     504      Pembuktian Putri Terkaya yang Sejati                  80 eps
32     505      Kau Takdirku                                          98 eps
33     533      Menikah lagi dengan Ketua Direksi(Dubbing)            69 eps
34     629      Cinta sang Tabib Sakti                               100 eps
35     630      Pesona Seorang Pria Muda                              93 eps
36     656      Cahaya Rembulan di Ujung Jari                         30 eps
37     657      Ibu Mertua yang Hilang                                46 eps
38     658      Rahasia Menantuku yang Terbongkar                     30 eps
39     719      Dia Menciumku dengan Luka                             80 eps
40     721      Cinta Di Ujung Senja                                  62 eps
41     722      Janda Beranak Menikah Dengan Keluarga Kaya            80 eps
42     731      Si el amor tuviera magia                              83 eps
43     782      Penikahan Yang Panjang                                61 eps
44     783      Dia Keterlaluan                                       73 eps
45     784      Cinta dan Kebahagiaan                                 40 eps
46     816      Cinta Lama Kembali Bersemi                            87 eps
47     817      Putri Mutiara                                         56 eps
48     818      Usai Keluar Penjara, Status Nyonya Kaya Menggunc      77 eps
49     819      Si Kecil Pemersatu Keluarga                           82 eps
50     820      Suami obsesifku                                       63 eps
51     821      Keluarga Tercinta                                     67 eps
52     860      Kuingin Kau Tahu                                      70 eps
53     861      Penyihir Terpuruk dan Rencana Kedua                   83 eps
54     862      Balas Dendam Istri                                    92 eps
55     889      Aku Dijodohkan dengan Tiga Pria                       91 eps
56     890      Kehangatan Cinta yang Berlalu                         80 eps
57     891      Pak Jay Nikahi Aku!                                   76 eps
58     893      Perubahan Hidup Penuh Perlindungan                    90 eps
59     894      Adik lpar Memanjakanku（Dubbing）                       52 eps
60     918      Ibuku Ketua Geng                                      80 eps
61     919      Takdir Cinta dengan Kaisar                            62 eps
62     920      Istri Pak Rey Cukup Liar                              80 eps
63     949      Berkah Isi Hati Putri Kandung                         30 eps
64     950      Rumah Tempatku Berpijak                               79 eps
65     951      Penyesalan yang Terlambat                             30 eps
66     952      Bos Melani Kembali                                    65 eps
