======================================================================
  DAFTAR DRAMA - JAPANESE
  Total: 633 drama
======================================================================

No.    ID       Judul                                               Episode
---------------------------------------------------------------------------
1      143      田舎からきた社長夫人                                            68 eps
2      144      スピード婚！旦那様は大富豪                                         69 eps
3      148      お母さん、娘を頼っていい                                          68 eps
4      150      ネット恋愛の相手が上司だった                                        55 eps
5      152      余の姉上になってくれ!                                           69 eps
6      154      終末世界を生き延びろ！                                           77 eps
7      155      双子の母親をお嫁さんにしました                                       70 eps
8      157      元夫！溜まりに溜まった恨みを晴らすわ                                    80 eps
9      158      邪妃の逆襲                                                 83 eps
10     170      月が見ていた                                                88 eps
11     171      一夜の奇跡 妻に寵愛を注ぐ                                         79 eps
12     175      私と結婚してください                                            76 eps
13     180      バツイチでももう一度愛せる                                         43 eps
14     183      富豪令嬢の反撃                                               30 eps
15     185      解き放つ                                                  80 eps
16     191      運命の2人                                                 98 eps
17     193      妊娠中、社長に溺愛されて                                         100 eps
18     201      許さない、美しき私                                             65 eps
19     203      田舎娘が社長夫人2                                             77 eps
20     204      900兆円の尽くす男                                            67 eps
21     205      掌中の恋                                                  65 eps
22     210      偽りのセレブ作戦                                              58 eps
23     211      オンリーユー                                                62 eps
24     214      君のいるところへ 2                                            73 eps
25     216      道端の縁                                                  79 eps
26     219      さらば、わが愛よ                                              80 eps
27     221      千面令嬢 下山大波乱を起こす！                                       91 eps
28     223      離婚後、絆と恋の始まり                                           90 eps
29     225      愛してると言えなくて                                            82 eps
30     227      君のいるところへ                                              74 eps
31     228      家政婦のセレブ人生                                             74 eps
32     237      主婦の逆襲                                                 92 eps
33     238      宮女扶揺の物語                                               52 eps
34     244      小閻魔な花嫁様                                              100 eps
35     247      君に知ってほしい                                              70 eps
36     250      なんと！養っていたヒモ男は大物だと？                                    75 eps
37     255      兄の未亡人と結婚した                                            52 eps
38     257      生まれ変わったら大復讐！シナリオを変えよう                                 30 eps
39     259      年下の彼に夢中                                               93 eps
40     263      億万の恩返し                                                59 eps
41     264      戦乱の愛と運命                                               81 eps
42     266      転生したら、母親をやめた件                                         57 eps
43     267      偽装の果実                                                100 eps
44     268      社長が夫だなんて、ありえない！                                       80 eps
45     274      蜜謀の寵姫                                                120 eps
46     277      横山組のあねさん                                              80 eps
47     279      誤解から始まる崩壊~                                            30 eps
48     286      50歳の胸キュン                                              62 eps
49     287      お嬢様の復讐劇                                               80 eps
50     288      おじさんの新たな青春                                            91 eps
51     289      心を読む天使 〜ママの輝く未来〜                                      82 eps
52     291      命があと三ヶ月、小田お嬢様は暴走中                                     36 eps
53     293      ママはヒロイン                                               84 eps
54     300      囚われから始まる秘密                                            91 eps
55     310      星に会いにゆく                                               80 eps
56     312      スピード婚！旦那様は大富豪（吹き替え）                                   69 eps
57     321      義妹の代わりに、侯爵夫人になった                                      75 eps
58     324      タイムスリップ大戦争 ～君がいる世界へ～                                  99 eps
59     325      リストラパニック                                              34 eps
60     329      あいむ                                                   77 eps
61     330      誓いは永遠、口付けは刹那                                          61 eps
62     344      ミラクルベイビーズ 運命の反撃作戦                                     80 eps
63     345      おれ、仙人じゃないんだってば！                                       80 eps
64     346      お嬢様の反撃                                                80 eps
65     350      奥様！御堂社長また暴走！                                          78 eps
66     351      捨てられた孤女の変身                                            32 eps
67     353      天才キッズと腹黒パパ                                            87 eps
68     371      おじさんとのマジ恋                                             40 eps
69     372      迷子になった令嬢の帰還                                           80 eps
70     373      私の心の声を聞いたママは大富豪の嫁になる                                  80 eps
71     383      福運の粟たん参上                                             100 eps
72     386      五十歳からの新しい人生                                           42 eps
73     387      君に馳せる薔薇色の想い                                          100 eps
74     388      月収1000万円の代役人生                                         92 eps
75     389      バツイチの シングルファザーと結婚した                                   99 eps
76     390      99日目の転生 ~運命を変える歌声~                                    80 eps
77     404      「復讐の華」～再び巡る運命～                                        80 eps
78     407      実は、私のお兄ちゃんたち、五人とも大物！                                  80 eps
79     417      神楽さんの幸せな結婚                                            86 eps
80     418      腹黒いメイドの復讐                                             80 eps
81     425      禁断の恋                                                  73 eps
82     477      鬼の花嫁                                                  90 eps
83     478      社長夫人のインターン生活                                          80 eps
84     479      御曹司と契約花嫁                                             100 eps
85     480      立花社長、奥さん違いですよ                                        103 eps
86     481      夫は、娘を殺した真犯人だった                                        59 eps
87     484      嫁にサイバー暴力された                                           45 eps
88     485      脇役悪女の仕返し                                              30 eps
89     520      ナイスフォロー！我が家の子達                                        77 eps
90     522      進撃の薔薇                                                 82 eps
91     523      可愛いアシスタントの吉田さん                                        89 eps
92     524      超能力赤ちゃんと終末の世界                                         61 eps
93     525      1980年に戻ろう~君に出会うため                                     99 eps
94     532      超能力赤ちゃんと終末の世界                                         61 eps
95     546      秘めたる憎悪                                                87 eps
96     547      これからは、歌姫になる！                                          60 eps
97     548      鳳凰台〜時子の逆転人生〜                                         155 eps
98     549      運命の偽装婚                                                82 eps
99     550      泣かないで姉さんが来たよ                                          60 eps
100    551      一夜の情事：社長とまさかの子供が！？                                    76 eps
101    552      雨のち晴れ、そして恋                                            68 eps
102    620      儚い愛の物語                                                60 eps
103    621      紅蓮の戦姫                                                 60 eps
104    622      そんな謎めいた彼                                              98 eps
105    623      頑張れお嬢様                                                83 eps
106    624      奇跡のボディーガード                                           100 eps
107    625      80年代に継母になった私                                          82 eps
108    626      五人の子供に助けられた                                           72 eps
109    678      50歳の胸キュン（吹き替え）                                        62 eps
110    679      掌中の恋（吹き替え）                                            65 eps
111    733      女帝が2023年にタイムスリップした                                    81 eps
112    734      悪な妃に名前を盗まれた女医                                         79 eps
113    736      地下世界の王の物語                                            103 eps
114    737      偽り夫婦の逆襲                                              100 eps
115    738      日が昇った                                                 83 eps
116    739      母親の反撃                                                 66 eps
117    740      この目を見よ                                                76 eps
118    746      工場の花、世界を救う                                            60 eps
119    747      愛と誤解の物語                                              105 eps
120    773      私の可愛い四つ子たち                                            70 eps
121    774      1988年の逆襲！                                             76 eps
122    775      親愛なるお嬢様                                               69 eps
123    776      スピード婚相手が万能少女だった件                                      82 eps
124    826      長い帰り道                                                 60 eps
125    827      揺るぎない愛情                                              109 eps
126    828      電撃結婚だが、アマイ                                            90 eps
127    829      運命逆転 ～豪門老紳士との出会い～                                     67 eps
128    830      絶賛フラッシュ婚中                                             78 eps
129    831      社長、新入の実習生はあなたの奥さんらしい                                  80 eps
130    832      名家の愛憎                                                 84 eps
131    835      家のこと                                                  79 eps
132    839      転生したPR女子の運命の絆                                         62 eps
133    843      正義の残響                                                 54 eps
134    854      私の娘はどこに                                               64 eps
135    855      秘書の逆転劇                                                98 eps
136    856      偏信と裏切り、私の復讐の物語                                        50 eps
137    878      転生して真の愛を取り戻す                                          84 eps
138    879      手のひらに囚われ                                              63 eps
139    880      嵐の果てに月明かり                                             73 eps
140    881      ベビーが繋ぐ運命の電撃結婚                                        101 eps
141    900      オールイン後の勝者                                             29 eps
142    911      出所後、ボスママは無敵だ                                          77 eps
143    913      兄の未亡人と結婚した（吹き替え）                                      52 eps
144    914      どっちが本物の若様                                             35 eps
145    937      夫と裁判沙汰になった                                            35 eps
146    938      偽物令嬢の反撃                                               85 eps
147    939      あの夜、私はあなたの物になった                                       80 eps
148    940      愛が消えるまで                                               31 eps
149    960      離婚した私が玉興し！？                                           65 eps
150    969      離婚した私が玉興し！？                                           65 eps
151    974      田舎娘が社長夫人2（吹き替え）                                       77 eps
152    975      億万の恩返し（吹き替え）                                          59 eps
153    976      なんと！養っていたヒモ男は大物だと？（吹き替え）                              75 eps
154    986      魔女なのに、何で結婚しなきゃ                                        83 eps
155    987      転生したら、王妃になった件                                        148 eps
156    1012     オフィスの薔薇は掃除中                                           57 eps
157    1013     都を染める夕暮の雪                                             85 eps
158    1014     永遠の絆                                                  54 eps
159    1036     狩谷家の奥様たち                                              52 eps
160    1051     奥様の機嫌が取りづらい                                           53 eps
161    1052     愛と復讐の狭間で                                              47 eps
162    1071     命の恩人に報いたい                                             90 eps
163    1072     うちの妻は財閥令嬢                                             83 eps
164    1073     母の言葉                                                  60 eps
165    1091     嫁いで咲いた、幸せの花                                           57 eps
166    1112     恋の隠し味                                                 65 eps
167    1117     松弥はいつでも                                               78 eps
168    1141     殺せ～パパの偏愛～                                             40 eps
169    1149     愛の炎に焼かれて                                              99 eps
170    1151     いばらの道を君と                                              90 eps
171    1154     いばらの道を君と                                              90 eps
172    1187     社長！嫁さん間違ってるよ！                                         90 eps
173    1188     慕倉社長もういい加減にして！                                        90 eps
174    1189     家に帰りたい                                                65 eps
175    1203     もう一度愛して                                               73 eps
176    1204     嘘に操られた愛                                               90 eps
177    1205     覚悟しなさい〜姉御が復帰！                                         67 eps
178    1206     運命の罠                                                  81 eps
179    1237     バラの淪落                                                 67 eps
180    1240     社長様、本命間違ってるよ                                          60 eps
181    1242     使用人の逆襲作戦                                              50 eps
182    1246     使用人の逆襲作戦                                              50 eps
183    1247     許さない、美しき私（吹き替え）                                       65 eps
184    1248     全てを賭けて君へ駆け抜ける                                         69 eps
185    1249     電撃結婚後 奥様の正体バレた                                        90 eps
186    1250     四つ子のパパは極上社長様？！                                        80 eps
187    1252     運命の罠                                                  81 eps
