======================================================================
  DAFTAR DRAMA - KOREAN
  Total: 632 drama
======================================================================

No.    ID       Judul                                               Episode
---------------------------------------------------------------------------
1      141      회장 부인은 시골 출신이다                                        68 eps
2      142      급작스러운 결혼 상대가 재벌이다                                     69 eps
3      145      왕의 형수님이 되다                                            69 eps
4      146      엄마를 위해 금의환향하는 거야 !                                    68 eps
5      147      세상에! 내 사이버 남친이 사장님이었어                                 55 eps
6      149      운명 속에 감춰진 진실                                          70 eps
7      151      전 남편을 향한 복수 일기                                        80 eps
8      153      최고의 요희                                                83 eps
9      156      정의로운 말세                                               77 eps
10     168      돌아온 그녀의 복수                                            88 eps
11     174      저와 결혼해 주세요                                            76 eps
12     178      그대는 내 운명                                              79 eps
13     179      이혼후 다시 한번 사랑을…                                        43 eps
14     184      드라마 같은 현실                                             80 eps
15     186      그 남자의 결혼식                                             30 eps
16     187      대표님 저 임신했어요                                          100 eps
17     188      계약으로 위장한 사랑 고백                                        73 eps
18     189      돌고 도는 인생                                              67 eps
19     190      나의 인연은 너였어                                            98 eps
20     194      용서도 재회도 없다                                            65 eps
21     199      나의 첫사랑                                                82 eps
22     200      나의 남편을 유혹해줘                                           58 eps
23     202      사모님은 시골출신 2                                           77 eps
24     209      네가 있는 곳으로                                             74 eps
25     215      싸움 잘하는 귀요미                                            79 eps
26     218      남풍이 불고 나면, 우린 다시 남이 되어                                80 eps
27     220      고씨부인의 부캐                                              91 eps
28     222      돌아온 재벌녀의 최강 오빠들                                       90 eps
29     229      우리 아빠는 회장님                                            74 eps
30     232      밤새도록 그녀에게 중독했다                                        62 eps
31     234      절망 주부의 화려한 변신                                         92 eps
32     235      그해 우리의 사랑은                                            70 eps
33     239      후궁의 연대기                                               52 eps
34     245      대표님이 내게 청혼했다                                          80 eps
35     246      보스의 아내를 건드리지 마                                       100 eps
36     248      할머니의 사랑                                               59 eps
37     249      할머니의 사랑                                               59 eps
38     252      시한부인줄 알았어요                                            36 eps
39     253      순정파 조폭 남편                                             65 eps
40     256      내운명 꽃미남                                               75 eps
41     258      연하남의 유혹                                               93 eps
42     261      환생﻿며느리의﻿비밀                                            30 eps
43     262      냉혈인간 도련님의 지나친 형수님 사랑                                  52 eps
44     265      도화 비가                                                 81 eps
45     269      환생 후 난 이제 엄마가 아니다                                     57 eps
46     270      마마가 흑화했다                                             120 eps
47     271      오빠가 다섯이라고요?                                           80 eps
48     272      아내가 환생 후 미쳤다                                          80 eps
49     273      나는 진짜 수련 천재가 아니야                                      80 eps
50     278      내 남편의 첫사랑                                             30 eps
51     284      50세의 설렘                                               62 eps
52     285      돌고 돌아 내 사랑                                            80 eps
53     290      열녀엄마를 건드리지마                                           84 eps
54     292      우리 엄마는 조직보스                                           80 eps
55     295      아픔을 품은 사랑                                             80 eps
56     297      그 남자의 비밀                                              91 eps
57     298      운명의 실타래                                               91 eps
58     302      엽기적인 나의 공주님                                           82 eps
59     309      역경 속의 시어머니                                            46 eps
60     316      내 직원의 반격                                              34 eps
61     320      붉은 화살의 끈                                              75 eps
62     323      가미                                                    77 eps
63     327      내가 타임슬립을 했다                                           99 eps
64     328      영원한 약속                                                61 eps
65     338      바람을 타고 파도를 헤치며: 귀요미들의 대반격                             80 eps
66     339      재벌 딸의 반격                                              80 eps
67     341      두 얼굴의 여자                                              87 eps
68     342      통제 불능 대표님                                             78 eps
69     343      난쟁이 엄마                                                32 eps
70     370      달콤한 거짓말                                               40 eps
71     374      다시 만난 아빠가 재벌이라고?                                      80 eps
72     375      우리 엄마 재벌한테 시집보내기                                      80 eps
73     392       50대 다시 시작한 인생                                        42 eps
74     399      복덩어리 소원이                                             100 eps
75     400      붉게 피어나는 그대                                           100 eps
76     402      대역에서 주인공으로                                            92 eps
77     408      잘난아들덕 보기                                              99 eps
78     411      결혼 당일                                                 50 eps
79     413      그 남자의 유혹                                              73 eps
80     414      초고속 결혼 뒤 공주님이 된 곽도련님                                  86 eps
81     415      흑화한 하녀                                                80 eps
82     419      전처에게 청혼하기 하루 전                                        80 eps
83     466      계약 사랑                                                100 eps
84     472      그것의 색시                                                90 eps
85     473      박 대표 와이프는 인턴 직원                                       80 eps
86     474      재벌이랑 결혼 연습                                           100 eps
87     475      사랑의 대기업                                              103 eps
88     476      엇갈린 운명                                                59 eps
89     483      시월드의 은밀한 진실                                           45 eps
90     513      다섯 아빠 어디 가                                            77 eps
91     514      비밀을 읽는 시간                                             30 eps
92     515      숨어있는 거미                                               69 eps
93     516      장미의 칼날                                                82 eps
94     517      말세 세계에서의 복수                                           61 eps
95     518      아리따운 이 비서                                             89 eps
96     519      미인은 80년대에                                             99 eps
97     529      숨어있는 거미                                               69 eps
98     530      숨어있는 거미                                               69 eps
99     531      숨어있는 거미                                               69 eps
100    539      분노의 복수                                                98 eps
101    540      음악 속의 진실                                              60 eps
102    541      다시 한번 사랑해                                             82 eps
103    542      울지 마, 언니가 있어                                          60 eps
104    543      아빠는 대표님                                               76 eps
105    544      애처가 아저씨                                               68 eps
106    545      어쩌다 세자비                                              155 eps
107    564      분노의 복수                                                87 eps
108    565      급작스러운 결혼 상대가 재벌이다 （더빙 ）                               69 eps
109    613      사랑이 기억할 때                                             60 eps
110    614      전장의 여왕                                                60 eps
111    615      신비로운 그대                                               98 eps
112    616      비제이 라이브                                               83 eps
113    617      당신 여자친구 싸움 고수야                                       100 eps
114    618      80연대 새 엄마 되다                                          82 eps
115    619      밤하늘에 뜬 다섯 개의 별                                        72 eps
116    712      여왕본색                                                  81 eps
117    713      봉황비상                                                  79 eps
118    714      어둠의 제왕                                               103 eps
119    715      계약 결혼, 운명의 그대                                        100 eps
120    716      어둠을 꿰뚫는 눈                                             83 eps
121    717      앵그리 마마                                                83 eps
122    718      넌 나의 눈                                                76 eps
123    732      앵그리 마마                                                66 eps
124    743      천재공장녀                                                 60 eps
125    744      빛나는 청춘                                               105 eps
126    745      쌍둥이의 다른 인생                                            66 eps
127    769      슈퍼 귀요미:길성고조                                           70 eps
128    770      강리의 역전 드라마                                            76 eps
129    771      아가씨가 돌아왔다                                             69 eps
130    772      초고속 결혼, 이혼은 어려워                                       82 eps
131    803      집으로 가는 길                                              60 eps
132    804      사랑에 빠진 도련님                                           109 eps
133    805      나한테 미친 바보남편                                           90 eps
134    806      사랑하는 가족                                               67 eps
135    807      초고속 결혼 로맨스 ING                                        78 eps
136    808      인턴 사모님                                                80 eps
137    809      위험한 거래                                                84 eps
138    836      너는 내 가족                                               79 eps
139    837      너는 내 가족                                               79 eps
140    838      위험 속에서 피어난 사랑                                         62 eps
141    842      그가 구하는 정의                                             54 eps
142    851      딸 찾아 삼만리                                              64 eps
143    852      검은 사랑                                                 98 eps
144    853      사랑과 현실                                                50 eps
145    874      달빛이 드리운 사랑                                            84 eps
146    875      장미의 가시                                                63 eps
147    876      결혼 후 남편을 사랑하게 됐다                                      73 eps
148    877      사랑의 시작, 재벌 아빠와 나                                     101 eps
149    896      순정파 조폭 남편（더빙）                                         65 eps
150    897      50세의 설렘（더빙）                                           62 eps
151    899      도박의 위험                                                29 eps
152    908      출소 후 카리스마 넘치는 우리 엄마                                   77 eps
153    909      명주공주                                                  56 eps
154    910      진짜 도련님의 역습                                            35 eps
155    933      시어머님을 위해 복수하는 며느리                                     35 eps
156    934      나의 아가씨                                                85 eps
157    935      그날 밤 우린 술에 취해                                         80 eps
158    936      뒤늦은 사랑, 돌이킬 수 없는 후회                                   31 eps
159    959      비 온 뒤 맑음                                              65 eps
160    972      사모님은 시골출신 2（더빙）                                       77 eps
161    973      할머니의 사랑（더빙）                                           59 eps
162    984      마녀의 남자 유혹 계획                                          83 eps
163    985      이번 생은 내 뜻대로                                          148 eps
164    1008     내운명 꽃미남（더빙）                                           75 eps
165    1009     재벌 남편과의 비밀 결혼                                         57 eps
166    1010     섭정왕과 사랑에 빠지다                                          85 eps
167    1011     은혜의 보답                                                54 eps
168    1035     언니, 시엄마라 불러야지                                         52 eps
169    1041     용서도 재회도 없다（더빙）                                        65 eps
170    1042     냉혈인간 도련님의 지나친 형수님 사랑（더빙）                              52 eps
171    1049     부인은 달래기 어렵다                                           53 eps
172    1050     잘못된 사랑                                                47 eps
173    1068     너는 내 운명                                               90 eps
174    1069     내 아내는 킹왕짱                                             83 eps
175    1070     잘못했어요, 엄마                                             60 eps
176    1099     기세등등한 그녀                                              57 eps
177    1113     그대는 나의 운명                                             65 eps
178    1114     청산은 변함없다                                              65 eps
179    1116     청산은 변함없다                                              78 eps
180    1138     계모와 의붓동생한테 복수했다                                       40 eps
181    1140     늦었지만 사랑해                                             100 eps
182    1145     불타는 사랑                                                99 eps
183    1146     열애ing                                                 89 eps
184    1147     당신의 정체가 궁금해                                           90 eps
185    1181     엔젤 아이즈                                                90 eps
186    1183     대표님 그만하세요                                             90 eps
187    1185     길 잃은 밤                                                65 eps
188    1199     다시 만나도 사랑해                                            73 eps
189    1200     운명은 너를 기억해                                            90 eps
190    1201     왕누님이 돌아왔다                                             67 eps
191    1202     운명의 첫사랑                                               81 eps
192    1236     장미의 추락                                                67 eps
193    1239     80년대 벼락치기 결혼 부부                                       60 eps
194    1241     안방극장                                                  50 eps
195    1243     불나비같은 사랑                                              69 eps
196    1244     재벌집 온라인 사랑                                            90 eps
197    1245     그만하세요, 대표님 아이 맞아요                                     80 eps
198    1296     주대표의 특별한 사랑                                           74 eps
199    1300     떠오르는 태양                                               55 eps
200    1321     비극 속에서 피어난 복수                                         71 eps
201    1326     내 사랑이 원수 전처라니                                         33 eps
202    1349     진실한 사랑이 기다리고 있어                                       70 eps
203    1351     달콤한 거짓말（더빙）                                           40 eps
204    1353     까칠한 총재님은 나의 귀여운 강아지                                   66 eps
205    1354     오, 나의 여신님                                             36 eps
206    1355     슬픔의 바다                                                36 eps
207    1383     죽은 후에야 얻게 된 엄마 사랑                                     72 eps
208    1389     은밀한 레시피                                               78 eps
209    1395     실수로 재벌 집에 시집가 대표 남편을 건졌네                              53 eps
210    1407     회장 마누라와의 초고속 결혼                                       18 eps
211    1422     초고속 로맨스                                               73 eps
212    1424     대표 남편과 다시 사랑에 빠졌다                                     90 eps
213    1426     순서대로 피는 꽃                                             50 eps
