======================================================================
  DAFTAR DRAMA - SPANISH
  Total: 710 drama
======================================================================

No.    ID       Judul                                               Episode
---------------------------------------------------------------------------
1      301      The Fiancée Farce                                     80 eps
2      431      La Luz del Apocalipsis                                67 eps
3      432      ¡Ayuda! Mi novio virtual es mi jefe                   55 eps
4      433      Renacer de la Venganza                                80 eps
5      434      De Campo a Esposa del Magnate                         68 eps
6      435      Mi esposo exprés es un magnate                        69 eps
7      436      Su Princesa del Embarazo                             100 eps
8      437      Niñera se casa con un rico                            74 eps
9      438      Donde el Amor Nos Lleve                               73 eps
10     439      De Campesina a La Élite                               77 eps
11     440      Ella, mi obsesión nocturna                            62 eps
12     443      Donde el destino nos une                              74 eps
13     444      El Nieto Bendito                                      59 eps
14     445      Una Noche, Un Amor Infinito                           79 eps
15     446      La suegra desaparecida                                46 eps
16     447      Día de la boda                                        50 eps
17     448      La Sirvienta de la Destrucción                        80 eps
18     451      Cuñada real es plebeya                                69 eps
19     455      Atrapados por la Venganza                             65 eps
20     456      La Belleza en Los Años 80                             99 eps
21     486      La casualidad de amor                                 76 eps
22     553      Mi Querida Señorita                                   69 eps
23     555      La noche se aclarará                                  83 eps
24     556      Bebé une a un matrimonio                              70 eps
25     557      Cuando Alba murió                                     76 eps
26     558      Cuando Alba murió                                     88 eps
27     627      ¡La Presidenta Regresa al Pueblo!                     68 eps
28     637      Madrastra en los 80                                   82 eps
29     638      Encontrar La Felicidad                                40 eps
30     642      Fénix en Vuelo                                        79 eps
31     659      La vida de los gemelos                                99 eps
32     697      Amor Inesperado(Doblado)                              70 eps
33     727      Adiós, hijos ingratos                                 57 eps
34     730      El largo compromiso                                   61 eps
35     741      Crónica de una Reina Oscura                          120 eps
36     749      Amor Después del Divorcio                             43 eps
37     750      ¡De verdad, no soy un inmortal!                       80 eps
38     778      Nos Casamos a los 50                                  62 eps
39     780      Amor en Engaño                                        90 eps
40     781      Amor en Engaño                                       103 eps
41     790      Ámame Como Lo Haces                                   56 eps
42     810      La Dama Gu y sus Secretos                             91 eps
43     811      El reencuentro agridulce con mi primer amor           81 eps
44     812      El Último Día de Rodillas                             80 eps
45     813      Revancha de la Dama Millonaria                        80 eps
46     814      La Trampa del Deseo                                   73 eps
47     844      Caballero de justicia en la oscuridad                 54 eps
48     857      El chico atractivo                                    93 eps
49     858      La Viuda del triunfo                                  75 eps
50     882      Reiniciar la vida a los cincuenta                     42 eps
51     883      Luz de Luna en la Punta de los Dedos                  30 eps
52     884      La Reina Regresa Imparable                            77 eps
53     887      El Eco de un Amor Muerto                              80 eps
54     888      Mi Querida Cuñada                                     52 eps
55     901      Perdió Todo, Pero Yo Mandaba                          29 eps
56     915      La esposa intocable del señor                        100 eps
57     917      El casero y sus cuatro inquilinas                     91 eps
58     941      Ojalá lo supieras                                     70 eps
59     942      La Niña Con Poder Imparable                           79 eps
60     944      Ríndete a Mi Abrazo                                   62 eps
61     947      Mente Leída: La Nueva Favorita                        30 eps
62     961      Cuando Me Perdiste, Él Me Eligió                      65 eps
63     971      Cuando Me Perdiste, Él Me Eligió                      65 eps
64     989      Quince años de oscuridad                             100 eps
65     1015     Hola, ¿quieres casarte conmigo?                       76 eps
66     1016     La Quiere Mucho                                       88 eps
67     1017     El Encuentro del Destino                              98 eps
68     1018     Revelé el Secreto después de Renacer                  30 eps
69     1019     Disparo a Tu Corazón                                  64 eps
70     1020     Adelantar contra el viento y las olas：El contraa      80 eps
71     1021     La tristeza fluye como el mar                         88 eps
72     1022     La tristeza fluye como el mar                         88 eps
73     1037     Las Esposas de la Familia Gonzalez                    52 eps
74     1040     La tristeza fluye como el mar                         36 eps
75     1043     Amor Sin Escapatoria(Doblado)                         55 eps
76     1044     Trampa de amor con mi caballero encantador            42 eps
77     1053     La Verdadera Venganza                                 80 eps
78     1074     Una ama de casa y su súper estrella.（Doblado）         55 eps
79     1075     Papá, Mamá, Soy su Hija Superpoderosa                 82 eps
80     1076     Una ama de casa y su súper estrella.（Doblado）         45 eps
81     1077     ¡El Millonario Es Mi Esposo!                          80 eps
82     1078     Las Flores Florecen en la Ciudad del Sur              92 eps
83     1079     La Venganza de la Desesperada                         92 eps
84     1104     Amor de verano                                        92 eps
85     1111     Mi Mamá Escucha Mi Voz Interior                       80 eps
86     1119     De las Cenizas al Poder                               80 eps
87     1142     Mamá Enfadada                                         66 eps
88     1144     Mi Nuera Me Expone En Vivo... Y Sonrío                45 eps
89     1152     Casémonos, Sr.  Landa                                 82 eps
90     1153     El Desquite de la Esposa XXL                          63 eps
91     1155     Cómo Decirte Que Te Amo                               82 eps
92     1156     Nos Casamos a los 50(Doblado)                         62 eps
93     1157     Reencuentro con el Niño Genio                         60 eps
94     1158     El diseño de vida                                     78 eps
95     1168     El Viaje de Moha                                     100 eps
96     1190     Los Secretos                                          91 eps
97     1191     Cuando el Corazón no Olvida                           60 eps
98     1192     Próximo destino: La Diva                              60 eps
99     1193     El Amor Equivocado del CEO                            75 eps
100    1213     El Destino del Amor                                   59 eps
101    1225     Mimada Por El Multimillonario                         73 eps
102    1226     La Joven Novia                                        68 eps
103    1227     Bebés Adorables y Padre Astuto                        87 eps
104    1274     Búsqueda de Familiares                                60 eps
105    1276     Esposa Accidental Del Magnate                         62 eps
106    1279     La Última Gota de Amor                                30 eps
107    1281     Amor perdido                                          72 eps
108    1282     Romántico Matrimonio Súbito en Proceso                73 eps
109    1284     El magnate a prueba insiste en tomarme como espo     100 eps
110    1286     Mundo Tierno por Ti                                   86 eps
111    1290     1955: Me Casé con el Jefe de la Mafia por Contra      59 eps
112    1299     La Rosa Blanca del Destino                            74 eps
113    1323     El Magnate que se Convirtió en Mi Canario             85 eps
114    1333     Bajo la Luz de las Estrellas                          82 eps
115    1359     La Dulce Mamá y Su Marido Billonario(Doblado)         80 eps
116    1360     Chica Genio de Fábrica                                60 eps
117    1361     Los niños de la fuerza                                70 eps
118    1362     El bebé que lucha                                     80 eps
119    1364     Dos Flores en el Mismo Tallo                          66 eps
120    1365     Melissa, la Taoísta                                   77 eps
121    1366     Cinco niños increíbles                                72 eps
122    1367     Casada por error con un magnate                       53 eps
123    1372     La Guerra de los Cinco Papás                          77 eps
124    1381     Mi Constelación                                       80 eps
125    1382     ¡Mi Esposo es el CEO!                                 68 eps
126    1391     Casada con un desconocido                             90 eps
127    1398     Ser la Sra. Multimillonaria de Una Noche              63 eps
128    1409     La Esposa Secreta del CEO                             55 eps
129    1410     Señor Gil, Te Equivocas de Tu Esposa                  90 eps
130    1429     El Pequeño Maestro: Tu Esposa Está Aquí, Papá         90 eps
131    1430     Los Secretos de mi Esposa                             90 eps
132    1431     Después de Nosotros                                   92 eps
133    1433     El orgullo de reina                                   81 eps
134    1434     El Sabor Prohibido de la Noche                        55 eps
135    1435     Mi Viaje de Ida y Vuelta en el Tiempo                 99 eps
136    1436     Vuelo al Amor                                         36 eps
137    1437     El Retorno de la Jefa                                 67 eps
138    1438     Mi Mini-Mamá                                          32 eps
139    1463     Las Estrella Siguen Brillando                         51 eps
140    1464     La Esposa que Nunca Conocí                            60 eps
141    1467     De traicionada a reina del apocalipsis                61 eps
142    1472     La Verdad Silenciosa                                  75 eps
143    1476     Mi monito y su papá millonario                        74 eps
144    1490     Renacer en los 80: La Esposa XL que Triunfó           70 eps
145    1509     La joven esposa interna del señor López               80 eps
146    1511     Mi Mamá Tonta                                         80 eps
147    1514     La heredera ha vuelto: El ex ya no me alcanza         73 eps
148    1515     El Señor Ramos Se Convirtió en Princesa al Casar      86 eps
149    1516     La Sacerdotisa Arrasa el Mundo                        70 eps
150    1517     Ella es mi primer amor                                36 eps
151    1518     Señor, su novia es invencible                        100 eps
152    1520     Amor desconocido                                      92 eps
153    1523     La Heredera Perdida                                   64 eps
154    1527     La bisabuela de 18 años, la gloria pronto volver      47 eps
155    1533     Secretos en la Cueva                                  35 eps
156    1560     No llores, hermana está aquí                          60 eps
157    1562     La Boda Maldita                                       90 eps
158    1563     Jugamos con fuego                                     60 eps
159    1572     La Magia del Amor                                     84 eps
160    1582     Jugamos con fuego                                     60 eps
161    1588     Mi Esposa No Es Fácil                                 53 eps
162    1589     El segundo amor del CEO                               56 eps
163    1591     Mi amor, te mimo de locura                            90 eps
164    1592     Nieve que Conquista Venganza y Pasión                 85 eps
165    1594     El Matrimonio que no Pude Abandonar                   82 eps
166    1596     Matrimonio Relámpago                                  78 eps
167    1597     Cuando el Orgullo se Encuentra con el Amor           105 eps
168    1599     La nuera vengadora                                    35 eps
169    1632     El Gentil Presidente                                  98 eps
170    1635     El mejor sabor en el mundo                            65 eps
171    1656     Ríndete a Mi Abrazo(Doblado)                          62 eps
172    1664     Amor Renacido en Esta Vida                            33 eps
173    1684     Mamá de Día, Esposa del CEO de Noche                  55 eps
174    1688     Yo estaré                                             78 eps
175    1695     Amor de la juventud                                   85 eps
176    1698     Mamá ardiente y millonario dominante                  80 eps
177    1700     El Titán del Entretenimiento                          83 eps
178    1712     El secreto del templo ancestral                       40 eps
179    1722     Mi Marido De Rebote, ¡Pero Qué Partidazo!            100 eps
180    1749     La Tormenta en Alta Mar                               45 eps
181    1754     La Confesión Postergada                              100 eps
182    1755     Patrón, Ese Bebé Sí Es Tuyo                           90 eps
183    1756     ¿Quién es la zorra astuta?                            61 eps
184    1758     El Juego Peligroso del Amor Prohibido                 84 eps
185    1761     El Sabor Prohibido de la Noche(Doblado)               55 eps
186    1767     Renuncié a mi beca y desafié al sistema               40 eps
187    1795     Amor Desaparecido                                     31 eps
188    1796     Mi Bebé Genio Quiere que Me Vuelva a Casar            91 eps
189    1799     El Destino Nos Quería Juntos                         109 eps
190    1813     Cuatro años de un amor que nunca llegó                63 eps
191    1814     Promoción de una Criada                               67 eps
192    1824     La Elegida del Tesoro Ancestral                      155 eps
193    1827     Niñera, ¡No Te Escapas!                               53 eps
194    1830     Mamá ardiente y millonario dominante(Doblado)         80 eps
195    1840     El Maestro de la pesca                                76 eps
196    1869     Soy la Esposa Secreta del CEO                         57 eps
197    1870     La decisión de emperatriz                             62 eps
198    1880     La amiga mejora mi vida                               89 eps
199    1881     Pequeños Conquistadores y Papá Jefe                  101 eps
200    1894     Tu Verdadero Amor Está en Casa                        81 eps
201    1895     Julieta, aún por venir                                18 eps
202    1904     Tú Me Criaste, Yo Te Cuidaré                          54 eps
203    1908     1955: Me Casé con el Jefe de la Mafia por Contra      59 eps
204    1910     Hasta que todo arda                                   40 eps
205    1925     Puja por amor                                         60 eps
206    1926     Amor Express, Fortuna Secreta                         90 eps
207    1953     La guerra entre hermanas                              43 eps
208    1956     Canciller de día, Tierno de noche                     91 eps
209    1978     Jefe no Hagas Líos los Niños Son Tuyos                80 eps
210    1979     Volverá mi amor                                       73 eps
211    1980     El precio del amor doble                              70 eps
212    1995     Mi esposo, el millonario secreto                      89 eps
213    1996     La Casa de los Espejos Rotos                          50 eps
214    1998     La Mejor Vida                                        148 eps
215    2007     Corazón Oculto del Comandante                         50 eps
216    2008     El secreto de nuera                                   45 eps
217    2025     Tumba del corazón                                     30 eps
218    2026     El segundo amor del CEO(Doblado)                      56 eps
219    2027     El Murmullo Invisible del Amor Materno                78 eps
220    2049     En su olvido, él siempre está presente                68 eps
221    2051     Esta Vez Sí Se Complicó Todo                          97 eps
222    2067     El camino a casa                                      65 eps
223    2068     Mi Esposa Audaz es la Jefa                            83 eps
224    2080     princesa escapa, príncipe persigue                    65 eps
225    2082     Diosa de la Cocina de Centría                         31 eps
226    2089     Castigo por malcriar                                  30 eps
227    2090     Todo por Ti, Mamá                                     77 eps
228    2091     La Caída de la Rosa                                   67 eps
229    2103     La última mano                                        36 eps
230    2104     La CEO y el Repartidor                                91 eps
231    2108     Desde las estrellas, él vino a mí                     70 eps
232    2109     Mi monito y su papá millonario(Doblado)               74 eps
233    2111     El amor llegará                                       79 eps
234    2131     Lágrimas Tras Los Lazos Rotos                         72 eps
235    2133     El Secreto de Aquella Noche                           52 eps
236    2158     Mamá y Sus Tres Cupidos                               75 eps
237    2161     La bisabuela de 18 años, la gloria pronto volver      90 eps
238    2167     El Príncipe Reencarnado                               61 eps
239    2189     El éxito de mi suegra y yo                            60 eps
240    2190     Ámame, hermana mayor                                  79 eps
241    2191     La bisabuela de 18 años, la gloria pronto volver     100 eps
242    2200     Me vengaré de mi familia                              60 eps
243    2203     La Gordita que Ahora lo Hace Rogar                    85 eps
244    2206     Lucha contra la apuesta                               94 eps
245    2210     Te amé en silencio                                    73 eps
246    2212     El amor lo vence todo                                 82 eps
247    2230     La Presa                                              60 eps
248    2267     Tenía Que Ser El Destino                              37 eps
249    2268     Antes del Amanecer                                    52 eps
250    2271     Cuando Florece el Jazmín                              80 eps
251    2272     Mamá, ¡sálvame!                                       35 eps
252    2280     ¡Estrella de la suerte aquí!                          70 eps
253    2284     Mi familia del más allá                              105 eps
254    2291     Mija, hasta la próxima vida                           30 eps
255    2292     Sinceridad Tardía                                     60 eps
256    2300     Mi vida robada                                        58 eps
257    2301     Me Toca Esposa por Decreto                            71 eps
258    2311     Renacida como la esposa del Jefe                      62 eps
259    2312     ¿Quién es la Verdadera?                               40 eps
260    2319     No eres el emperador inmortal                         61 eps
261    2337     Rompe el cielo después del divorcio                   95 eps
262    2341     Reencarnación de amor                                 75 eps
263    2352     Mi esposa es la Jefa                                  80 eps
264    2353     Mi esposa es la Jefa                                  80 eps
265    2373     Solo Muerta Me Convertí en Su Amor Eterno             85 eps
266    2374     El tío de mi prometido está super sexy                73 eps
267    2375     La Venganza de la Sirvienta                           61 eps
268    2376     Amor Contra el Destino                                73 eps
269    2377     Tres Años y No Puedo Dejarla                          82 eps
270    2379     ¿Mi esposa es Princesa?                               80 eps
271    2381     Le serment renouvelé                                  63 eps
272    2384     La Famille impossible                                105 eps
273    2389     O meu amor voltará                                    73 eps
274    2390     Diário de Sobrevivência do Vilão                      60 eps
275    2391     Herdeiro: Memória Perdida                             82 eps
276    2404     La Fuite Impossible                                   60 eps
277    2405     La Princesse qui détestait le Prince                  65 eps
278    2406     Alliance pour la justice conjugale                    42 eps
279    2407     La tempête devant le bac                              43 eps
280    2409     Tomber, renaître, réussir                             31 eps
281    2411     La Vengeance Cachée                                   45 eps
282    2415     Sous-estimée                                          36 eps
283    2418     Estrellita de la Fortuna                              79 eps
284    2419     La Empleada Doméstica del Engaño                      40 eps
285    2429     Amor y Mentira                                        80 eps
286    2430     Muerto, venganza, redención                           64 eps
287    2481     A escondidas con Su Majestad                          84 eps
288    2500     Bésame, hermana                                       77 eps
289    2504     Amor sin regreso                                     100 eps
290    2505     Princesita antigua: Aventuras en el Futuro            66 eps
291    2510     Ciegas por el Amor                                    74 eps
292    2512     Largo es el camino, profundo el amor                  90 eps
293    2513     Renace la reina del destino                           60 eps
294    2514     Secretos en el Grupo Río Celeste​                     59 eps
295    2524     Amor que Renace                                       71 eps
296    2531     Cuando la Rosa Volvió a Florecer                      59 eps
297    2533     La Jasmín Negra                                       64 eps
298    2534     Corazón en Llamas                                     99 eps
299    2558     Mi Tío, Mi Única Salvación                            89 eps
300    2561     Con mi vida, por la tuya                              54 eps
301    2563     Soy la Princesa, ¿y tú quién eres?                    80 eps
302    2570     Master's Gambit: From Protégé to Predator​            76 eps
303    2575     Niebla de Engaños, Amor Verdadero                     90 eps
304    2576     El amor invernal                                      74 eps
305    2577     El Maestro Verdadero                                  76 eps
306    2600     Que me ames de corazón                                81 eps
307    2608     Cuando el amor llama a la puerta                      38 eps
308    2615     El Esposo de Dos Caras                                30 eps
309    2616     La Barrendera del Destino                             72 eps
310    2618     ¿Por Qué Es Así Mi Esposo Inesperado?                 90 eps
311    2631     La chica taoísta que me salvó                         80 eps
312    2642     Lucha por el Resplandor                               79 eps
313    2643     En Año Nuevo encontré mi ángel                        66 eps
314    2644     Sin Límites Por Ti                                    69 eps
315    2645     Romper las cadenas del chivo expiatorio               58 eps
316    2647     El Príncipe Reencarnado (Doblado)                     61 eps
317    2651     Parásitos                                             41 eps
318    2652     El Milagro del Médico Desanimado                      60 eps
319    2675     Mi Último Día, Sus Fuegos Eternos                     30 eps
320    2676     Papá por Error, Amor por Destino                      63 eps
321    2682     La Maestra                                            71 eps
322    2684     Chut... Chloé débarque !                              92 eps
323    2700     Media vida juntos, ahora somos extraños               60 eps
324    2708     Caer en la ternura                                    50 eps
325    2709     Mis nueras me consienten más que ese ex               50 eps
326    2710     Mis nueras me consienten más que ese ex               30 eps
327    2717     El regreso del Chivo Expiatorio                       43 eps
328    2724     La Coartada Perfecta                                  51 eps
329    2735     La señora Silvestre... ¿esa loca borracha?            64 eps
330    2736     Amor a Prueba de Secretos                             81 eps
331    2745     Dinero Sucio, Amor Podrido                            68 eps
332    2759     Amor exprés entre dos CEOs "pobres"                   80 eps
