======================================================================
  DAFTAR DRAMA - THAI
  Total: 467 drama
======================================================================

No.    ID       Judul                                               Episode
---------------------------------------------------------------------------
1      567      คลื่นความร้อนแห่งวันสิ้นโลก                           77 eps
2      568      กลับบ้าน! ให้แม่มี                                    68 eps
3      569      หัวใจในกำมือนายมาเฟีย                                 65 eps
4      570      ประธานรูปหล่อขอเป็นคนจน                               70 eps
5      573      สนมปีศาจสยบ                                           83 eps
6      574      แย่แล้ว หนุ่มหน้าขาวคือเขา                            75 eps
7      575      ปุ๊บปั๊บจับสามีเศรษฐี                                 69 eps
8      576      บอสของฉันกลายมาเป็นหวานใจ                             55 eps
9      577      สามีเก่าคะ ฉันมาทวงแค้นร้อยกิโล                       80 eps
10     578      กว่าจะได้รักเธอ                                       68 eps
11     579      ความรักที่ไม่คาดคิด                                   74 eps
12     580      เส้นทางรักในเงามืด                                    62 eps
13     581      ไม่ให้อภัยไม่คืนดีฉันขอเดินคนเดียว                    65 eps
14     582      สตาร์ทระบบทาสรัก                                      67 eps
15     583      เกมส์แก้แค้น                                          58 eps
16     584      ขออยู่ในที่ที่มีคุณ                                   74 eps
17     585      ยามความดี ผลิดอกออกผล                                 69 eps
18     586      คืนเดียวเปลี่ยนชีวิต                                  79 eps
19     587      รักแท้ที่มาช้า                                        88 eps
20     607      หัวใจในกำมือนายมาเฟีย                                 65 eps
21     608      แม่สามีที่หายไป                                       46 eps
22     643      ท่านเผด็จการคลั่งรัก                                 100 eps
23     644      ไปในที่ที่มีคุณ                                       73 eps
24     645      รักแท้หัวใจบ้านนา                                     77 eps
25     646      ปาฏิหาริย์สายใยรัก หลานน้อยพันล้านกลับมาตอบแทนบุ      59 eps
26     647      ตำนานเมิ่งเสวี่ยจาว                                   52 eps
27     648      คุณลุงเจ้าเสน่ห์                                      91 eps
28     649      หลังได้เกิดใหม่ฉันเลิกเป็นแม่แล้ว                     57 eps
29     650      ลูกจ๋า ป๊ะป๋าหายไปไหน                                 52 eps
30     651      ชีวิตใหม่ของคุณแม่ทารกเทวดา                           80 eps
31     660      คุณพ่อเศรษฐีพลิกชะตายัยยาจก                           80 eps
32     661      ตำราพลิกชีวิตดอกบัวสีดำ                              120 eps
33     662      ชื่อเรื่อง:คุณนายสายโหด ขอสะสางทั้งตระกูล             80 eps
34     663       สลับตัวชะตาลิขิต                                     80 eps
35     664      ข้าไม่ใช่เซียน                                        80 eps
36     665      สุดยอดนักธุรกิจเริ่มจากการคุกเข่าให้เมียเก่า 99       80 eps
37     666      งานแต่งวันนั้น                                        50 eps
38     667      แสงจันทร์ที่สอดส่อง                                   30 eps
39     668      ประธานแสนล้านขอฉันแต่งงาน                             80 eps
40     669      เธอคือพรหมลิขิต                                       98 eps
41     670      เกิดใหม่เพื่อแฉสะใภ้ตัวดี                             30 eps
42     671      ลุ้นรักเจ้าเด็กแสบ                                    93 eps
43     672      ชีวิตใหม่ในวัย 50                                     42 eps
44     673      อย่าทำให้ภรรยาของผมโมโห                              100 eps
45     677      จูบนี้ที่มีน้ำตา                                      80 eps
46     680      รักมิอาจหลีกเลี่ยง                                    63 eps
47     681      เพลิงรักสายลมแค้น                                     80 eps
48     682      รักวาบหวามวัย 50                                      62 eps
49     683      เขาน่ะ...จอมเผด็จการ                                  73 eps
50     684      รอยรักรอคอย                                           61 eps
51     693      แม่มดตกอับกับแผนการมีลูกสอง                           83 eps
52     742      ถึงตาคุณหนูเอาคืน                                     80 eps
53     824      องค์หญิงทวง                                           56 eps
54     833      ประธานแสนล้านขอฉันแต่งงาน                             60 eps
55     863      ย้อนหัวใจให้รักกันอีกครั้ง                            43 eps
56     956      ในอ้อมกอดของข้า                                       62 eps
57     1033     ประพันธ์รักพลิกชะตา                                   80 eps
58     1094     แม่ของฉันเป็นมาเฟีย                                   80 eps
59     1095     ศึกโต้กลับของเด็กน้อยจอมแสบ                           80 eps
60     1096     คุณชัยแต่งงานกับฉันเถอะ                               76 eps
61     1097     เทวทูตบันดาลรัก                                       77 eps
62     1123     เป็นม่าย สบายไปทั้งชาติ                               75 eps
63     1124     คุณนาทึ เราแต่งงานกันเถอะ                             82 eps
64     1166     หัวใจในกำมือนายมาเฟีย（ฉบับพากย์ ）                     65 eps
65     1169     รักวาบหวามวัย 50（ฉบับพากย์ ）                          62 eps
66     1172     อยากให้เธอรู้จัง                                      70 eps
67     1173     เขาน่ะ...จอมเผด็จการ                                  73 eps
68     1194     ลวงรักวิวาห์ฟ้าผ่ากับคุณกัปตัน                        36 eps
69     1195     พบรักดั่งพบความสุข                                    40 eps
70     1207     คุณพ่อมาดเข้มแฝดอัจฉริยะ                              87 eps
71     1216     รักที่เอ่ยไม่ได้                                      82 eps
72     1234     ครอบครัวที่รัก                                        67 eps
73     1283     คุณพ่อพันล้านตามหาหัวใจ（ฉบับพากย์ ）                   80 eps
74     1288     บทเพลงเศร้าในยุคแห่งความวุ่นวาย                       81 eps
75     1293     เพลิงรักสายลมแค้น                                     80 eps
76     1305     ชีวิตใหม่กับซีอีโอตระกูลใหญ่                          80 eps
77     1311     สาวใช้สนองแค้น                                        80 eps
78     1312     สาวใช้สนองแค้น                                        80 eps
79     1315     เปลี่ยนชะตานางร้าย                                    30 eps
80     1332     ร้ายนักว่าที่ภรรยา                                    91 eps
81     1363     ลูกสาวพลังวิเศษสื่อรัก                                82 eps
82     1370     เด็กน้อยมหาภัย พลังเหนือมนุษย์                        79 eps
83     1377     แม่ตัวเล็กของฉัน                                      32 eps
84     1378      ภรรยาสุดแสบของท่านประธาน                             81 eps
85     1386     ลุกขึ้นอีกครั้ง เพื่อฉันเอง                           92 eps
86     1401     พี่ชายทั้งสามกับชีวิตใหม่                             90 eps
87     1402     สามเดือนสุดท้ายขอใช้ชีวิตให้สุด                       36 eps
88     1412      ลูกๆจอมซนทำคุณพ่อมึนตึบ                              88 eps
89     1440     แม่สองหนี้                                            45 eps
90     1441     คมดาบทวงแค้น                                          54 eps
91     1442      รักแรกของสามี                                        30 eps
92     1469     ระหว่างทางกลับบ้าน                                    60 eps
93     1478     โธ่ ลูกฉันเป็นทายาทเศรษฐีเหรอ                         74 eps
94     1489     พ่อจ๋าภรรยาของคุณอยู่ที่นี่                           90 eps
95     1512      จะไล่เสาหลักออกไปได้ไง                               34 eps
96     1513     ในอ้อมกอดของข้า（ฉบับพากย์ ）                           62 eps
97     1521     ฉันย้อนเวลาไปมาได้                                    34 eps
98     1522     ฉันย้อนเวลาไปมาได้                                    99 eps
99     1538     เงารักในความทรงจำ                                     60 eps
100    1539     ความโกรธของคุณแม่                                     66 eps
101    1561     จากท่านประธานผู้มีอำนาจสู่นกในกรงทอง                  85 eps
102    1571     ตามล่าภรรยาสุดแสบของผม                               100 eps
103    1603     เธอชื่อลลิน                                           78 eps
104    1608     ความโชคดีของเด็ก6ขวบครึ่ง                            100 eps
105    1609     ฝาแฝด                                                 66 eps
106    1623     บ้านนี้มีรัก                                          79 eps
107    1624     รัตติกาลใกล้สาง                                       83 eps
108    1636     ตัวตนสะใภ้ถูกเปิดโปง                                  90 eps
109    1643     หลังออกจากคุก ฉันได้คบกับเศรษฐี                       91 eps
110    1653     เธอคือนางเอกของตน                                     60 eps
111    1659     กลางใจแห่งดวงดาว                                      80 eps
112    1693     ปิ๊งรักสะดุดเลิฟ                                      77 eps
113    1694     พวกเราหลังจากนั้น                                     92 eps
114    1696     การคลุมถุงชนนี้ในยุค 80                               60 eps
115    1699     ความรักเริ่มต้นจากลูกแฝด                              80 eps
116    1716     หลังลูกตาย แม่ล้างแค้นทั้งตระกูลพ่อมัน                64 eps
117    1717     ความลับของศาลเจ้าบรรพบุรุษ                            40 eps
118    1723     เมื่อดาวกลับสู่ฟ้า                                    51 eps
119    1760     ลูกสาวข้าใครอย่าแตะ                                   69 eps
120    1762     ทะเลหลวงเดือด                                         45 eps
121    1765     สู้สุดฝันฝ่าฟันสุดหัวใจ                               36 eps
122    1766     สามแสบป่วนรัก คุณพ่อมหาเศรษฐี                         90 eps
123    1778     ภรรยาของท่านประธาน                                    55 eps
124    1779     คดีรักทึกทักทนายสาว                                   92 eps
125    1780     อึ้ง ท่านประธานกลับเป็นสามีของฉัน                     68 eps
126    1784     สละอนาคตเพื่อข่วยชาวประชา                             40 eps
127    1788     สู่เส้นทางผลิบาน                                      50 eps
128    1789     การกลับมาของภรรยาอัปลักษณ์                            80 eps
129    1817     พลิกรักชะตาสาวใช้                                     67 eps
130    1818     หวนรักปักใจเพลงพิณ                                    29 eps
131    1819     หวนรักปักใจเพลงพิณ                                    63 eps
132    1825     เรื่องวุ่นๆ ของคุณแม่มือใหม่                          75 eps
133    1835     คุณแม่บ้านซ่อนแค้น                                    53 eps
134    1862     ตัวแม่แห่งเผ่าวิญญาณที่โด่งดังไปทั่วโลก               70 eps
135    1864     พูดล้นใจ รักไร้เสียง                                  92 eps
136    1868     ผมไม่ใช่เทพประมง                                      76 eps
137    1876     โลกนี้อบอุ่นเพราะเธอ                                  86 eps
138    1878     พระมเหสีอ้วนป่วนวัง                                   62 eps
139    1884     มิตรภาพสามพันปี                                       89 eps
140    1889     วิวาห์ฟ้าแลบ                                          73 eps
141    1890     สามีสายฟ้าแลบ รักนี้ไม่เคยรู้จักกัน                   90 eps
142    1898     สัญญารักฤดูร้อน                                       92 eps
143    1912     เกมร้าย เงื่อนแค้น                                    40 eps
144    1917     หัวใจแห่งโชคชะตา                                      73 eps
145    1939     .ย่าเยาว์วัยปฏิวัติวงศ์ตระกูล                         90 eps
146    1940     รักนี้... ไม่ได้นัดหมาย                               92 eps
147    1941     ประมูลรัก เดิมพันแค้น                                 60 eps
148    1965     สงครามสอบและหัวใจ                                     43 eps
149    1969     แม่ของฉันไม่ลำเอียงแล้ว                               72 eps
150    1971     อัครเสนาบดีสองหน้าของข้า                              91 eps
151    1987     ดั่งแสงแรกของ                                         36 eps
152    1988     เงาของสามี                                            73 eps
153    1992     สวมรอยลวงใจ                                           92 eps
154    1993     กลอยใจน้อย คอยช่วยชีวิต                               80 eps
155    2011     คุกเข่าขอ33รอบ ถึงมีเมีย                              50 eps
156    2013     หน้ากากของลูกสะใภ้ฉัน                                 45 eps
157    2028     เจ้าสาวปริศนา บัญชาหัวใจ                              18 eps
158    2039     ความรักเริ่มต้นจากลูกแฝด（ฉบับพากย์ ）                  80 eps
159    2040     แม่ทัพสาวเคียงใจ                                      60 eps
160    2041     เรื่องย่อแสงแห่งวันใหม่                               75 eps
161    2042     เคราะห์รักนักออกแบบ                                   78 eps
162    2043     อุ้ยตาย! ได้ท่านประธาน/มาเป็นหวานใจ                   53 eps
163    2084     พันธนาการหัวใจใต้บัลลังก์                             65 eps
164    2100     ทางรอดของเทพีต้มตุ๋น                                  36 eps
165    2119     แต่งกับผี                                             90 eps
166    2120     ในยามที่รักมาถึง                                      79 eps
167    2127     วิหคาพยอม                                             79 eps
168    2139     เกิดใหม่ในยุค70s ฉันทำให้ครอบครัวมีชีวิตที่ดีขึ้      64 eps
169    2151     เมื่อดวงดาวส่งเขา\Nกลับมาอีกครั้ง                     82 eps
170    2152     สามีหมดตัว ภรรยาเปิดตัวเอาคืน                         29 eps
171    2153     คุณหนูซ่งสุดที่รัก                                    69 eps
172    2154     เล่ห์รักทดลองวิวาห์                                  100 eps
173    2166     รัชทายาทในร่างเด็กหกขวบ                               61 eps
174    2187     ย่าเยาว์วัยปฏิวิตัวงศ์ตระกูล 2                       100 eps
175    2207     พ่อผู้ถูกทอดทิ้ง                                      60 eps
176    2214     ราชันต้านกลโกง                                        94 eps
177    2217     .ย่าเยาว์วัยปฏิวัติวงศ์ตระกูล（ฉบับพากย์ ）             90 eps
178    2223     ภรรยาสาวฝึกหัดของคุณชายกู้                            80 eps
179    2244     โธ่ ลูกฉันเป็นทายาทเศรษฐีเหรอ（ฉบับพากย์ ）             74 eps
180    2246     ชีวิตพลิกเพราะส่งอาหาร                                91 eps
181    2249     อย่าร้องไห้ พี่มาแล้ว                                 60 eps
182    2250     แฝดห้าคนนั้นลูกท่านประธาน                             72 eps
183    2251     สถานีต่อไปคือราชินี                                   60 eps
184    2288     ไม่เป็นไรนะ เราเป็นครอบครัว                          105 eps
185    2289     จุติใหม่ในตำแหน่งขุนนางชั้นผู้ใหญ่                   105 eps
186    2322     ดาบเดียวสะเทือนโลก                                    61 eps
187    2323     ชาติใหม่ 90 แต่งงานใหม่ สดชื่นจัด                     62 eps
188    2324     คุณหนูพันล้าน รีเทิร์นล้างแค้น                        40 eps
189    2345     หมออัจฉริยะคืนชีพ                                     61 eps
190    2347     ระบบจีบใจ ต้องได้ผู้ชายคนนั้นมาให้ได้                 72 eps
191    2348     รักแลกชีวิตสายลม                                      75 eps
192    2378     ประธานลี่ จำผิดคนแล้ว                                103 eps
193    2400     เพลิงแค้นใต้ม่านวังหลวง                               61 eps
194    2401     ราชันย์ใต้ดิน                                        103 eps
195    2403     พันธมิตรพิพากษาหัวใจ                                  42 eps
196    2425     แค่เพื่อครอบครองเธอ                                  100 eps
197    2443     เกิดใหม่ ล้างแค้น ฉันจะเป็นภูเขาของลูกสาว             64 eps
198    2444     คุณชายอาทิตย์เป็นสามีคลั่งรัก                         90 eps
199    2465     เสน่ห์รักผู้ช่วยมัลลิกา                               89 eps
200    2468     เมื่อฝ่าบาทกลายเป็นเหยื่อของข้า                       84 eps
201    2486     หัวใจน้อยๆสี่ดวง                                      70 eps
202    2488     อ้อนรักคุณอาสุดละมุน                                  68 eps
203    2490     แฟนผมโคตรแกร่ง                                       100 eps
204    2492     เจ้าหญิงเก๋ากึ้กของคุณสุน                             66 eps
205    2493     สามีของฉันลึกลับสุด ๆ เลย                             98 eps
206    2503     คืนผิดพลาดแล้วรับพลังลับ                              69 eps
207    2507     สามีแสบต้องฝึกโดยภรรยามือสังหาร                       69 eps
208    2538     รักเก่าโรยรา รักใหม่ผลิใบ                             71 eps
209    2542     คำสาปของมะลิ                                          64 eps
210    2545     ภารกิจรัก ฉบับคุณพ่อลูกแฝด                            99 eps
211    2564     กุหลาบมีหนาม                                          82 eps
212    2565     ลับหน้าของเจ้าหญิงใหญ่                                80 eps
213    2580     การกลับมาของเจ๊ใหญ่                                   67 eps
214    2581     วิทยายุทธ์ของอาจารย์                                  76 eps
215    2586     การกลับมาของเจ๊ใหญ่                                   67 eps
216    2601     เกมรักซ่อนใจของคุณหญิง                                81 eps
217    2611     แรงแค้น                                               87 eps
218    2621     ในสมัยขาดแคลน แม่ข้ามเวลาเลี้ยงลูก                    72 eps
219    2656     หมอวิเศษกลับผงาดอีกครั้ง                              60 eps
220    2657     เมื่อฉันต้องมาเป็นแม่เลี้ยง                           79 eps
221    2659     ปรสิต                                                 41 eps
222    2666     คุณแม่เซ่อซ่ากับลูกสุดที่รักพันล้าน                   80 eps
223    2667     หัวใจทายาทพันล้าน                                     65 eps
224    2668     สายใยแห่งรัก                                          59 eps
225    2688     สาวโรงงานยอดอัจฉริยะ                                  60 eps
226    2714     ย้อนเวลาพบรัก                                         99 eps
227    2718     การแก้แค้นของฉัน จะเริ่มในไลฟ์สด                      43 eps
228    2725     หลักฐานที่สมบูรณ์แบบ                                  51 eps
229    2739     เมื่อท่านประธานจำภรรยาผิด                             90 eps
230    2747     ชีวิตที่เหลือกับความผิดพลาด                           68 eps
231    2752     เกิดใหม่ในยุค 80 สาวอ้วนขอเอาคืน                      76 eps
232    2784     เธอผู้ที่เกิดมาเป็นราชินี                             81 eps
233    2797     รักแท้ที่สายเกินไป                                    61 eps
234    2808     สะใภ้ตระกูลเทวทิน                                     52 eps
235    2809     เธอใช้เวทอำนาจครองโลกยุคใหม่                          89 eps
236    2818     เส้นสายสีแดงที่ขาดหาย                                 60 eps
237    2823     เด็กเก่งฟื้นคืนชีพ ทวงคืนทุกอย่าง                     31 eps
238    2841     รักลึกไม่สู้กลิ่นมะลิ                                 40 eps
239    2843     ได้ความรักของเธอ                                      75 eps
240    2859     สามีเฉพาะกิจสุดยอดไปเลย                              100 eps
241    2860     สัญญาสิ้นสุด รักเราเริ่มต้น                           80 eps
242    2887     มธุรสกุหลาบ                                          100 eps
243    2888     ศัตรูที่รักฉันที่สุด                                  71 eps
244    2909     รักผิดคนเก่า สูญเสียสามีเศรษฐี                        90 eps
245    2919     ประธานวิชัยกลายเป็นคุณหนู                             86 eps
246    2920     อย่าให้เธอผ่านไป                                      73 eps
247    2921     ฟ้าลิขิตให้ ใจลิขิตเอง                                57 eps
248    2927     เสียงในใจลูกช่วยให้ฉันเทพในวันสิ้นโลก                 61 eps
249    2953     รอยรักร้ายของผู้สำเร็จราชการ                          89 eps
250    2956     ลูกฉัน เธออยู่ไหน                                     64 eps
251    2971     ลูกสาวนำโชค พ่อตะลุยรวย                               86 eps
252    2985     ชะตากลับ แค้นหญิงชั่ว                                 42 eps
253    2991     รักหวานสายฟ้าแลบ                                      78 eps
254    2993     ชะตาพลิกของพี่น้องเกิดใหม่                            64 eps
